rank 0: start pid=496832 shape=p2p_ring
rank 0: round 5850 ok checksum=274704450
rank 0: round 5875 ok checksum=276906500
rank 0: round 5900 ok checksum=279117300
rank 0: round 5925 ok checksum=281336850
rank 0: round 5950 ok checksum=283565150
rank 0: round 5975 ok checksum=285802200
rank 0: round 6000 ok checksum=288048000
rank 0: round 6025 ok checksum=290302550
rank 0: round 6050 ok checksum=292565850
rank 0: round 6075 ok checksum=294837900
rank 0: round 6100 ok checksum=297118700
rank 0: round 6125 ok checksum=299408250
rank 0: round 6150 ok checksum=301706550
rank 0: round 6175 ok checksum=304013600
rank 0: round 6200 ok checksum=306329400
rank 0: round 6225 ok checksum=308653950
rank 0: round 6250 ok checksum=310987250
rank 0: round 6275 ok checksum=313329300
rank 0: round 6300 ok checksum=315680100
rank 0: round 6325 ok checksum=318039650
rank 0: round 6350 ok checksum=320407950
rank 0: round 6375 ok checksum=322785000
rank 0: round 6400 ok checksum=325170800
rank 0: round 6425 ok checksum=327565350
rank 0: round 6450 ok checksum=329968650
rank 0: round 6475 ok checksum=332380700
rank 0: round 6500 ok checksum=334801500
rank 0: round 6525 ok checksum=337231050
rank 0: round 6550 ok checksum=339669350
rank 0: round 6575 ok checksum=342116400
rank 0: round 6600 ok checksum=344572200
rank 0: round 6625 ok checksum=347036750
rank 0: round 6650 ok checksum=349510050
rank 0: round 6675 ok checksum=351992100
rank 0: round 6700 ok checksum=354482900
rank 0: round 6725 ok checksum=356982450
rank 0: round 6750 ok checksum=359490750
rank 0: round 6775 ok checksum=362007800
rank 0: round 6800 ok checksum=364533600
rank 0: round 6825 ok checksum=367068150
rank 0: round 6850 ok checksum=369611450
rank 0: round 6875 ok checksum=372163500
rank 0: round 6900 ok checksum=374724300
rank 0: round 6925 ok checksum=377293850
rank 0: round 6950 ok checksum=379872150
rank 0: round 6975 ok checksum=382459200
rank 0: round 7000 ok checksum=385055000
rank 0: round 7025 ok checksum=387659550
rank 0: round 7050 ok checksum=390272850
rank 0: round 7075 ok checksum=392894900
rank 0: round 7100 ok checksum=395525700
rank 0: round 7125 ok checksum=398165250
rank 0: round 7150 ok checksum=400813550
rank 0: round 7175 ok checksum=403470600
rank 0: round 7200 ok checksum=406136400
rank 0: round 7225 ok checksum=408810950
rank 0: round 7250 ok checksum=411494250
rank 0: round 7275 ok checksum=414186300
rank 0: round 7300 ok checksum=416887100
rank 0: round 7325 ok checksum=419596650
rank 0: round 7350 ok checksum=422314950
rank 0: round 7375 ok checksum=425042000
rank 0: round 7400 ok checksum=427777800
rank 0: round 7425 ok checksum=430522350
rank 0: round 7450 ok checksum=433275650
rank 0: round 7475 ok checksum=436037700
rank 0: round 7500 ok checksum=438808500
rank 0: round 7525 ok checksum=441588050
rank 0: round 7550 ok checksum=444376350
rank 0: round 7575 ok checksum=447173400
rank 0: round 7600 ok checksum=449979200
rank 0: round 7625 ok checksum=452793750
rank 0: round 7650 ok checksum=455617050
rank 0: round 7675 ok checksum=458449100
rank 0: round 7700 ok checksum=461289900
rank 0: round 7725 ok checksum=464139450
rank 0: round 7750 ok checksum=466997750
rank 0: round 7775 ok checksum=469864800
rank 0: round 7800 ok checksum=472740600
rank 0: round 7825 ok checksum=475625150
rank 0: round 7850 ok checksum=478518450
rank 0: round 7875 ok checksum=481420500
rank 0: round 7900 ok checksum=484331300
rank 0: round 7925 ok checksum=487250850
rank 0: round 7950 ok checksum=490179150
rank 0: round 7975 ok checksum=493116200
rank 0: round 8000 ok checksum=496062000
rank 0: round 8025 ok checksum=499016550
rank 0: round 8050 ok checksum=501979850
rank 0: round 8075 ok checksum=504951900
rank 0: round 8100 ok checksum=507932700
rank 0: round 8125 ok checksum=510922250
rank 0: round 8150 ok checksum=513920550
rank 0: round 8175 ok checksum=516927600
rank 0: round 8200 ok checksum=519943400
rank 0: round 8225 ok checksum=522967950
rank 0: round 8250 ok checksum=526001250
rank 0: round 8275 ok checksum=529043300
rank 0: round 8300 ok checksum=532094100
rank 0: round 8325 ok checksum=535153650
rank 0: round 8350 ok checksum=538221950
rank 0: round 8375 ok checksum=541299000
rank 0: round 8400 ok checksum=544384800
rank 0: round 8425 ok checksum=547479350
rank 0: round 8450 ok checksum=550582650
rank 0: round 8475 ok checksum=553694700
rank 0: round 8500 ok checksum=556815500
rank 0: round 8525 ok checksum=559945050
rank 0: round 8550 ok checksum=563083350
rank 0: round 8575 ok checksum=566230400
rank 0: round 8600 ok checksum=569386200
rank 0: round 8625 ok checksum=572550750
rank 0: round 8650 ok checksum=575724050
rank 0: round 8675 ok checksum=578906100
rank 0: round 8700 ok checksum=582096900
rank 0: round 8725 ok checksum=585296450
rank 0: round 8750 ok checksum=588504750
rank 0: round 8775 ok checksum=591721800
rank 0: round 8800 ok checksum=594947600
rank 0: round 8825 ok checksum=598182150
rank 0: round 8850 ok checksum=601425450
rank 0: round 8875 ok checksum=604677500
rank 0: round 8900 ok checksum=607938300
rank 0: round 8925 ok checksum=611207850
rank 0: round 8950 ok checksum=614486150
rank 0: round 8975 ok checksum=617773200
rank 0: round 9000 ok checksum=621069000
rank 0: round 9025 ok checksum=624373550
rank 0: round 9050 ok checksum=627686850
rank 0: round 9075 ok checksum=631008900
rank 0: round 9100 ok checksum=634339700
rank 0: round 9125 ok checksum=637679250
rank 0: round 9150 ok checksum=641027550
rank 0: round 9175 ok checksum=644384600
rank 0: round 9200 ok checksum=647750400
rank 0: round 9225 ok checksum=651124950
rank 0: round 9250 ok checksum=654508250
rank 0: round 9275 ok checksum=657900300
rank 0: round 9300 ok checksum=661301100
rank 0: round 9325 ok checksum=664710650
