rank 0: start pid=509592 shape=mixed_p2p_collective
rank 0: round 9650 ok checksum=14034694945073837988
rank 0: round 9675 ok checksum=3491863805717115656
rank 0: round 9700 ok checksum=11694154752114002240
rank 0: round 9725 ok checksum=14236039067774904250
rank 0: round 9750 ok checksum=16316700582233997088
rank 0: round 9775 ok checksum=10077256351343361840
rank 0: round 9800 ok checksum=12078425209104784662
rank 0: round 9825 ok checksum=14933385896805341150
rank 0: round 9850 ok checksum=1375781477698153458
rank 0: round 9875 ok checksum=16213333526178918704
rank 0: round 9900 ok checksum=10868688546241449170
rank 0: round 9925 ok checksum=5019442745180302854
rank 0: round 9950 ok checksum=12645500062939853718
rank 0: round 9975 ok checksum=3026637160958718528
rank 0: round 10000 ok checksum=6551896795604364574
rank 0: round 10025 ok checksum=2476356990769879966
rank 0: round 10050 ok checksum=9528696247643146666
rank 0: round 10075 ok checksum=4551748051518176928
rank 0: round 10100 ok checksum=14098780818942254778
rank 0: round 10125 ok checksum=5953686051804478360
rank 0: round 10150 ok checksum=14191570314979615538
rank 0: round 10175 ok checksum=14681236494706960870
rank 0: round 10200 ok checksum=15894691193650753422
rank 0: round 10225 ok checksum=7706748075371798680
rank 0: round 10250 ok checksum=9307135430042494638
rank 0: round 10275 ok checksum=516095190290778766
rank 0: round 10300 ok checksum=3155319528404597874
rank 0: round 10325 ok checksum=9898470398035477416
rank 0: round 10350 ok checksum=14657394359368199610
rank 0: round 10375 ok checksum=2732469415585845446
rank 0: round 10400 ok checksum=2047286358456498278
rank 0: round 10425 ok checksum=3078087108506261448
rank 0: round 10450 ok checksum=9691382717230371656
rank 0: round 10475 ok checksum=9160300152556722722
rank 0: round 10500 ok checksum=2138256300173378096
rank 0: round 10525 ok checksum=9628020015247901248
rank 0: round 10550 ok checksum=10830093206509332796
rank 0: round 10575 ok checksum=16224793637486880258
rank 0: round 10600 ok checksum=14082183020623431500
rank 0: round 10625 ok checksum=1350319749142881352
rank 0: round 10650 ok checksum=8450713456215194688
rank 0: round 10675 ok checksum=15246253326324309234
rank 0: round 10700 ok checksum=3774817058387017976
rank 0: round 10725 ok checksum=2065251839059847392
rank 0: round 10750 ok checksum=3994004363661238100
rank 0: round 10775 ok checksum=3952784009637417444
rank 0: round 10800 ok checksum=10520052661224825144
rank 0: round 10825 ok checksum=9174495969348219486
rank 0: round 10850 ok checksum=16255509280354974240
rank 0: round 10875 ok checksum=13516732007055862876
rank 0: round 10900 ok checksum=16774752470050533356
rank 0: round 10925 ok checksum=7364722639671606718
rank 0: round 10950 ok checksum=9039885462338904444
rank 0: round 10975 ok checksum=11197344250271243620
rank 0: round 11000 ok checksum=15450579128982519472
rank 0: round 11025 ok checksum=13446879038054429710
rank 0: round 11050 ok checksum=8344610245744325320
rank 0: round 11075 ok checksum=11671285732076460348
rank 0: round 11100 ok checksum=16563302194536474166
rank 0: round 11125 ok checksum=7358610975606319842
rank 0: round 11150 ok checksum=4646460459159453642
rank 0: round 11175 ok checksum=7507372818534295148
rank 0: round 11200 ok checksum=16677106213825842850
rank 0: round 11225 ok checksum=15517604887670308026
rank 0: round 11250 ok checksum=3346464863130829982
rank 0: round 11275 ok checksum=4914521864152592300
rank 0: round 11300 ok checksum=11599269849506938014
rank 0: round 11325 ok checksum=1396727220654524962
rank 0: round 11350 ok checksum=13547382651397436034
rank 0: round 11375 ok checksum=8229766267449071612
rank 0: round 11400 ok checksum=14615285956908104490
rank 0: round 11425 ok checksum=18107765053143277068
rank 0: round 11450 ok checksum=3595781035586925434
rank 0: round 11475 ok checksum=16278765805313554866
rank 0: round 11500 ok checksum=4004771800595245550
rank 0: round 11525 ok checksum=17673375695913949180
rank 0: round 11550 ok checksum=1537756287870551910
rank 0: round 11575 ok checksum=1447521849762204106
rank 0: round 11600 ok checksum=17681798028246013378
rank 0: round 11625 ok checksum=16635333053085311228
rank 0: round 11650 ok checksum=9297552012906903522
rank 0: round 11675 ok checksum=14706200353655679090
rank 0: round 11700 ok checksum=11039746435628966310
rank 0: round 11725 ok checksum=8292718867606952972
rank 0: round 11750 ok checksum=13522177402778652640
rank 0: round 11775 ok checksum=8458512073520784190
rank 0: round 11800 ok checksum=2397038216598838368
rank 0: round 11825 ok checksum=4409695040358293108
rank 0: round 11850 ok checksum=7840898965475053892
rank 0: round 11875 ok checksum=8402300613620361614
rank 0: round 11900 ok checksum=15989663767361807212
rank 0: round 11925 ok checksum=11611984086865049964
rank 0: round 11950 ok checksum=6879517168251517112
rank 0: round 11975 ok checksum=4258249297629893614
rank 0: round 12000 ok checksum=4808050497143971848
rank 0: round 12025 ok checksum=12702693909075839188
rank 0: round 12050 ok checksum=12119819354404240284
rank 0: round 12075 ok checksum=8835379250045136528
rank 0: round 12100 ok checksum=4041453247575177720
rank 0: round 12125 ok checksum=15114226882820857602
rank 0: round 12150 ok checksum=3925851462027390104
rank 0: round 12175 ok checksum=3903502970837809720
