rank 0: start pid=345534 shape=baseline
rank 0: round 5825 ok checksum=226511967
rank 0: round 5850 ok checksum=228434742
rank 0: round 5875 ok checksum=230365642
rank 0: round 5900 ok checksum=232304667
rank 0: round 5925 ok checksum=234251817
rank 0: round 5950 ok checksum=236207092
rank 0: round 5975 ok checksum=238170492
rank 0: round 6000 ok checksum=240142017
rank 0: round 6025 ok checksum=242121667
rank 0: round 6050 ok checksum=244109442
rank 0: round 6075 ok checksum=246105342
rank 0: round 6100 ok checksum=248109367
rank 0: round 6125 ok checksum=250121517
rank 0: round 6150 ok checksum=252141792
rank 0: round 6175 ok checksum=254170192
rank 0: round 6200 ok checksum=256206717
rank 0: round 6225 ok checksum=258251367
rank 0: round 6250 ok checksum=260304142
rank 0: round 6275 ok checksum=262365042
rank 0: round 6300 ok checksum=264434067
rank 0: round 6325 ok checksum=266511217
rank 0: round 6350 ok checksum=268596492
rank 0: round 6375 ok checksum=270689892
rank 0: round 6400 ok checksum=272791417
rank 0: round 6425 ok checksum=274901067
rank 0: round 6450 ok checksum=277018842
rank 0: round 6475 ok checksum=279144742
rank 0: round 6500 ok checksum=281278767
rank 0: round 6525 ok checksum=283420917
rank 0: round 6550 ok checksum=285571192
rank 0: round 6575 ok checksum=287729592
rank 0: round 6600 ok checksum=289896117
rank 0: round 6625 ok checksum=292070767
rank 0: round 6650 ok checksum=294253542
rank 0: round 6675 ok checksum=296444442
rank 0: round 6700 ok checksum=298643467
rank 0: round 6725 ok checksum=300850617
rank 0: round 6750 ok checksum=303065892
rank 0: round 6775 ok checksum=305289292
rank 0: round 6800 ok checksum=307520817
rank 0: round 6825 ok checksum=309760467
rank 0: round 6850 ok checksum=312008242
rank 0: round 6875 ok checksum=314264142
rank 0: round 6900 ok checksum=316528167
rank 0: round 6925 ok checksum=318800317
rank 0: round 6950 ok checksum=321080592
rank 0: round 6975 ok checksum=323368992
rank 0: round 7000 ok checksum=325665517
rank 0: round 7025 ok checksum=327970167
rank 0: round 7050 ok checksum=330282942
rank 0: round 7075 ok checksum=332603842
rank 0: round 7100 ok checksum=334932867
rank 0: round 7125 ok checksum=337270017
rank 0: round 7150 ok checksum=339615292
rank 0: round 7175 ok checksum=341968692
rank 0: round 7200 ok checksum=344330217
rank 0: round 7225 ok checksum=346699867
rank 0: round 7250 ok checksum=349077642
rank 0: round 7275 ok checksum=351463542
rank 0: round 7300 ok checksum=353857567
rank 0: round 7325 ok checksum=356259717
rank 0: round 7350 ok checksum=358669992
rank 0: round 7375 ok checksum=361088392
rank 0: round 7400 ok checksum=363514917
rank 0: round 7425 ok checksum=365949567
rank 0: round 7450 ok checksum=368392342
rank 0: round 7475 ok checksum=370843242
rank 0: round 7500 ok checksum=373302267
rank 0: round 7525 ok checksum=375769417
rank 0: round 7550 ok checksum=378244692
rank 0: round 7575 ok checksum=380728092
rank 0: round 7600 ok checksum=383219617
rank 0: round 7625 ok checksum=385719267
rank 0: round 7650 ok checksum=388227042
rank 0: round 7675 ok checksum=390742942
rank 0: round 7700 ok checksum=393266967
rank 0: round 7725 ok checksum=395799117
rank 0: round 7750 ok checksum=398339392
rank 0: round 7775 ok checksum=400887792
rank 0: round 7800 ok checksum=403444317
rank 0: round 7825 ok checksum=406008967
rank 0: round 7850 ok checksum=408581742
rank 0: round 7875 ok checksum=411162642
rank 0: round 7900 ok checksum=413751667
rank 0: round 7925 ok checksum=416348817
rank 0: round 7950 ok checksum=418954092
rank 0: round 7975 ok checksum=421567492
rank 0: round 8000 ok checksum=424189017
rank 0: round 8025 ok checksum=426818667
rank 0: round 8050 ok checksum=429456442
rank 0: round 8075 ok checksum=432102342
rank 0: round 8100 ok checksum=434756367
rank 0: round 8125 ok checksum=437418517
rank 0: round 8150 ok checksum=440088792
rank 0: round 8175 ok checksum=442767192
rank 0: round 8200 ok checksum=445453717
rank 0: round 8225 ok checksum=448148367
rank 0: round 8250 ok checksum=450851142
rank 0: round 8275 ok checksum=453562042
rank 0: round 8300 ok checksum=456281067
rank 0: round 8325 ok checksum=459008217
rank 0: round 8350 ok checksum=461743492
rank 0: round 8375 ok checksum=464486892
rank 0: round 8400 ok checksum=467238417
rank 0: round 8425 ok checksum=469998067
rank 0: round 8450 ok checksum=472765842
rank 0: round 8475 ok checksum=475541742
rank 0: round 8500 ok checksum=478325767
rank 0: round 8525 ok checksum=481117917
rank 0: round 8550 ok checksum=483918192
rank 0: round 8575 ok checksum=486726592
rank 0: round 8600 ok checksum=489543117
rank 0: round 8625 ok checksum=492367767
rank 0: round 8650 ok checksum=495200542
rank 0: round 8675 ok checksum=498041442
rank 0: round 8700 ok checksum=500890467
rank 0: round 8725 ok checksum=503747617
rank 0: round 8750 ok checksum=506612892
rank 0: round 8775 ok checksum=509486292
rank 0: round 8800 ok checksum=512367817
rank 0: round 8825 ok checksum=515257467
rank 0: round 8850 ok checksum=518155242
rank 0: round 8875 ok checksum=521061142
rank 0: round 8900 ok checksum=523975167
rank 0: round 8925 ok checksum=526897317
rank 0: round 8950 ok checksum=529827592
rank 0: round 8975 ok checksum=532765992
rank 0: round 9000 ok checksum=535712517
rank 0: round 9025 ok checksum=538667167
rank 0: round 9050 ok checksum=541629942
rank 0: round 9075 ok checksum=544600842
rank 0: round 9100 ok checksum=547579867
rank 0: round 9125 ok checksum=550567017
rank 0: round 9150 ok checksum=553562292
rank 0: round 9175 ok checksum=556565692
rank 0: round 9200 ok checksum=559577217
rank 0: round 9225 ok checksum=562596867
rank 0: round 9250 ok checksum=565624642
rank 0: round 9275 ok checksum=568660542
rank 0: round 9300 ok checksum=571704567
rank 0: round 9325 ok checksum=574756717
rank 0: round 9350 ok checksum=577816992
rank 0: round 9375 ok checksum=580885392
rank 0: round 9400 ok checksum=583961917
rank 0: round 9425 ok checksum=587046567
rank 0: round 9450 ok checksum=590139342
rank 0: round 9475 ok checksum=593240242
rank 0: round 9500 ok checksum=596349267
rank 0: round 9525 ok checksum=599466417
rank 0: round 9550 ok checksum=602591692
rank 0: round 9575 ok checksum=605725092
rank 0: round 9600 ok checksum=608866617
rank 0: round 9625 ok checksum=612016267
rank 0: round 9650 ok checksum=615174042
rank 0: round 9675 ok checksum=618339942
rank 0: round 9700 ok checksum=621513967
rank 0: round 9725 ok checksum=624696117
rank 0: round 9750 ok checksum=627886392
rank 0: round 9775 ok checksum=631084792
rank 0: round 9800 ok checksum=634291317
rank 0: round 9825 ok checksum=637505967
rank 0: round 9850 ok checksum=640728742
rank 0: round 9875 ok checksum=643959642
rank 0: round 9900 ok checksum=647198667
rank 0: round 9925 ok checksum=650445817
rank 0: round 9950 ok checksum=653701092
rank 0: round 9975 ok checksum=656964492
rank 0: round 10000 ok checksum=660236017
rank 0: round 10025 ok checksum=663515667
rank 0: round 10050 ok checksum=666803442
rank 0: round 10075 ok checksum=670099342
rank 0: round 10100 ok checksum=673403367
rank 0: round 10125 ok checksum=676715517
rank 0: round 10150 ok checksum=680035792
rank 0: round 10175 ok checksum=683364192
rank 0: round 10200 ok checksum=686700717
rank 0: round 10225 ok checksum=690045367
rank 0: round 10250 ok checksum=693398142
rank 0: round 10275 ok checksum=696759042
rank 0: round 10300 ok checksum=700128067
rank 0: round 10325 ok checksum=703505217
rank 0: round 10350 ok checksum=706890492
rank 0: round 10375 ok checksum=710283892
rank 0: round 10400 ok checksum=713685417
rank 0: round 10425 ok checksum=717095067
rank 0: round 10450 ok checksum=720512842
rank 0: round 10475 ok checksum=723938742
rank 0: round 10500 ok checksum=727372767
rank 0: round 10525 ok checksum=730814917
rank 0: round 10550 ok checksum=734265192
rank 0: round 10575 ok checksum=737723592
rank 0: round 10600 ok checksum=741190117
rank 0: round 10625 ok checksum=744664767
rank 0: round 10650 ok checksum=748147542
rank 0: round 10675 ok checksum=751638442
rank 0: round 10700 ok checksum=755137467
rank 0: round 10725 ok checksum=758644617
rank 0: round 10750 ok checksum=762159892
rank 0: round 10775 ok checksum=765683292
rank 0: round 10800 ok checksum=769214817
rank 0: round 10825 ok checksum=772754467
rank 0: round 10850 ok checksum=776302242
rank 0: round 10875 ok checksum=779858142
rank 0: round 10900 ok checksum=783422167
rank 0: round 10925 ok checksum=786994317
rank 0: round 10950 ok checksum=790574592
rank 0: round 10975 ok checksum=794162992
rank 0: round 11000 ok checksum=797759517
rank 0: round 11025 ok checksum=801364167
rank 0: round 11050 ok checksum=804976942
rank 0: round 11075 ok checksum=808597842
rank 0: round 11100 ok checksum=812226867
rank 0: round 11125 ok checksum=815864017
rank 0: round 11150 ok checksum=819509292
rank 0: round 11175 ok checksum=823162692
rank 0: round 11200 ok checksum=826824217
rank 0: round 11225 ok checksum=830493867
rank 0: round 11250 ok checksum=834171642
rank 0: round 11275 ok checksum=837857542
rank 0: round 11300 ok checksum=841551567
rank 0: round 11325 ok checksum=845253717
rank 0: round 11350 ok checksum=848963992
rank 0: round 11375 ok checksum=852682392
rank 0: round 11400 ok checksum=856408917
rank 0: round 11425 ok checksum=860143567
rank 0: round 11450 ok checksum=863886342
rank 0: round 11475 ok checksum=867637242
rank 0: round 11500 ok checksum=871396267
rank 0: round 11525 ok checksum=875163417
rank 0: round 11550 ok checksum=878938692
rank 0: round 11575 ok checksum=882722092
rank 0: round 11600 ok checksum=886513617
rank 0: round 11625 ok checksum=890313267
rank 0: round 11650 ok checksum=894121042
rank 0: round 11675 ok checksum=897936942
rank 0: round 11700 ok checksum=901760967
rank 0: round 11725 ok checksum=905593117
rank 0: round 11750 ok checksum=909433392
rank 0: round 11775 ok checksum=913281792
rank 0: round 11800 ok checksum=917138317
rank 0: round 11825 ok checksum=921002967
rank 0: round 11850 ok checksum=924875742
rank 0: round 11875 ok checksum=928756642
rank 0: round 11900 ok checksum=932645667
rank 0: round 11925 ok checksum=936542817
rank 0: round 11950 ok checksum=940448092
rank 0: round 11975 ok checksum=944361492
rank 0: round 12000 ok checksum=948283017
rank 0: round 12025 ok checksum=952212667
rank 0: round 12050 ok checksum=956150442
rank 0: round 12075 ok checksum=960096342
rank 0: round 12100 ok checksum=964050367
rank 0: round 12125 ok checksum=968012517
rank 0: round 12150 ok checksum=971982792
rank 0: round 12175 ok checksum=975961192
rank 0: round 12200 ok checksum=979947717
rank 0: round 12225 ok checksum=983942367
rank 0: round 12250 ok checksum=987945142
rank 0: round 12275 ok checksum=991956042
rank 0: round 12300 ok checksum=995975067
rank 0: round 12325 ok checksum=1000002217
rank 0: round 12350 ok checksum=1004037492
rank 0: round 12375 ok checksum=1008080892
rank 0: round 12400 ok checksum=1012132417
rank 0: round 12425 ok checksum=1016192067
rank 0: round 12450 ok checksum=1020259842
rank 0: round 12475 ok checksum=1024335742
rank 0: round 12500 ok checksum=1028419767
rank 0: round 12525 ok checksum=1032511917
rank 0: round 12550 ok checksum=1036612192
rank 0: round 12575 ok checksum=1040720592
rank 0: round 12600 ok checksum=1044837117
rank 0: round 12625 ok checksum=1048961767
rank 0: round 12650 ok checksum=1053094542
rank 0: round 12675 ok checksum=1057235442
rank 0: round 12700 ok checksum=1061384467
rank 0: round 12725 ok checksum=1065541617
rank 0: round 12750 ok checksum=1069706892
rank 0: round 12775 ok checksum=1073880292
rank 0: round 12800 ok checksum=1078061817
rank 0: round 12825 ok checksum=1082251467
rank 0: round 12850 ok checksum=1086449242
rank 0: round 12875 ok checksum=1090655142
rank 0: round 12900 ok checksum=1094869167
rank 0: round 12925 ok checksum=1099091317
rank 0: round 12950 ok checksum=1103321592
rank 0: round 12975 ok checksum=1107559992
rank 0: round 13000 ok checksum=1111806517
rank 0: round 13025 ok checksum=1116061167
rank 0: round 13050 ok checksum=1120323942
rank 0: round 13075 ok checksum=1124594842
rank 0: round 13100 ok checksum=1128873867
rank 0: round 13125 ok checksum=1133161017
rank 0: round 13150 ok checksum=1137456292
rank 0: round 13175 ok checksum=1141759692
rank 0: round 13200 ok checksum=1146071217
rank 0: round 13225 ok checksum=1150390867
rank 0: round 13250 ok checksum=1154718642
rank 0: round 13275 ok checksum=1159054542
rank 0: round 13300 ok checksum=1163398567
rank 0: round 13325 ok checksum=1167750717
rank 0: round 13350 ok checksum=1172110992
rank 0: round 13375 ok checksum=1176479392
rank 0: round 13400 ok checksum=1180855917
rank 0: round 13425 ok checksum=1185240567
rank 0: round 13450 ok checksum=1189633342
rank 0: round 13475 ok checksum=1194034242
rank 0: round 13500 ok checksum=1198443267
rank 0: round 13525 ok checksum=1202860417
rank 0: round 13550 ok checksum=1207285692
rank 0: round 13575 ok checksum=1211719092
rank 0: round 13600 ok checksum=1216160617
rank 0: round 13625 ok checksum=1220610267
rank 0: round 13650 ok checksum=1225068042
rank 0: round 13675 ok checksum=1229533942
rank 0: round 13700 ok checksum=1234007967
rank 0: round 13725 ok checksum=1238490117
rank 0: round 13750 ok checksum=1242980392
rank 0: round 13775 ok checksum=1247478792
rank 0: round 13800 ok checksum=1251985317
rank 0: round 13825 ok checksum=1256499967
rank 0: round 13850 ok checksum=1261022742
rank 0: round 13875 ok checksum=1265553642
rank 0: round 13900 ok checksum=1270092667
rank 0: round 13925 ok checksum=1274639817
rank 0: round 13950 ok checksum=1279195092
rank 0: round 13975 ok checksum=1283758492
rank 0: round 14000 ok checksum=1288330017
rank 0: round 14025 ok checksum=1292909667
rank 0: round 14050 ok checksum=1297497442
rank 0: round 14075 ok checksum=1302093342
