rank 0: start pid=520276 shape=noncommutative
rank 0: round 5750 ok checksum=13400871856110648726
rank 0: round 5775 ok checksum=15428766154507508512
rank 0: round 5800 ok checksum=1351894349302216224
rank 0: round 5825 ok checksum=14980578335166732307
rank 0: round 5850 ok checksum=14308734736407271816
rank 0: round 5875 ok checksum=15574422069236187735
rank 0: round 5900 ok checksum=5650731691920155567
rank 0: round 5925 ok checksum=15624171860702599823
rank 0: round 5950 ok checksum=17229890909681596766
rank 0: round 5975 ok checksum=1972542058489141126
rank 0: round 6000 ok checksum=4329823582821205743
rank 0: round 6025 ok checksum=5825674141106133468
rank 0: round 6050 ok checksum=11013769074671567344
rank 0: round 6075 ok checksum=8737917444443954286
rank 0: round 6100 ok checksum=14584136944478795700
rank 0: round 6125 ok checksum=11158946533154498005
rank 0: round 6150 ok checksum=4464893373190366325
rank 0: round 6175 ok checksum=15552882272102818536
rank 0: round 6200 ok checksum=11930843040808838844
rank 0: round 6225 ok checksum=9711315257247051208
rank 0: round 6250 ok checksum=10032107289537054652
rank 0: round 6275 ok checksum=11469534786402549655
rank 0: round 6300 ok checksum=1537957949700658767
rank 0: round 6325 ok checksum=5089201266930238213
rank 0: round 6350 ok checksum=10667019710224855903
rank 0: round 6375 ok checksum=299345929987566421
rank 0: round 6400 ok checksum=10177714516251477535
rank 0: round 6425 ok checksum=16228776254217679142
rank 0: round 6450 ok checksum=14781619042048132261
rank 0: round 6475 ok checksum=8877134656087413767
rank 0: round 6500 ok checksum=7575939979603219635
rank 0: round 6525 ok checksum=629008130589358971
rank 0: round 6550 ok checksum=6892761624834718155
rank 0: round 6575 ok checksum=17128541856237081429
rank 0: round 6600 ok checksum=10917593916280847303
rank 0: round 6625 ok checksum=14548600318596869125
rank 0: round 6650 ok checksum=2623135866165181423
rank 0: round 6675 ok checksum=12825788605151952512
rank 0: round 6700 ok checksum=17471147314444071775
rank 0: round 6725 ok checksum=7472159754249701665
rank 0: round 6750 ok checksum=10868970489719085632
rank 0: round 6775 ok checksum=13322074311747509696
rank 0: round 6800 ok checksum=4031094787471849922
rank 0: round 6825 ok checksum=4392423965038715030
rank 0: round 6850 ok checksum=16231744993619636949
rank 0: round 6875 ok checksum=6676501675101714870
rank 0: round 6900 ok checksum=6117146422762044600
rank 0: round 6925 ok checksum=10891305707802576606
rank 0: round 6950 ok checksum=2498686332381398131
rank 0: round 6975 ok checksum=11691381941677038937
rank 0: round 7000 ok checksum=2274830098085008991
rank 0: round 7025 ok checksum=10121941232010497098
rank 0: round 7050 ok checksum=2940094081521177879
rank 0: round 7075 ok checksum=11047921793853494431
rank 0: round 7100 ok checksum=12602631881069450627
rank 0: round 7125 ok checksum=13216701910901117983
rank 0: round 7150 ok checksum=1258003380496988089
rank 0: round 7175 ok checksum=13453204528368721858
rank 0: round 7200 ok checksum=1469079546914895562
rank 0: round 7225 ok checksum=16374255475896265259
rank 0: round 7250 ok checksum=3534160758455465499
rank 0: round 7275 ok checksum=1290295829120687581
rank 0: round 7300 ok checksum=7959620435699548106
rank 0: round 7325 ok checksum=6586915398582340153
rank 0: round 7350 ok checksum=3105777736160625805
rank 0: round 7375 ok checksum=5963018569125336545
rank 0: round 7400 ok checksum=16085282450911732125
rank 0: round 7425 ok checksum=505943307092800109
rank 0: round 7450 ok checksum=17741000482523661004
rank 0: round 7475 ok checksum=16278679092281315627
rank 0: round 7500 ok checksum=12538340029855366253
rank 0: round 7525 ok checksum=12599601341234853727
rank 0: round 7550 ok checksum=16457773774560012595
rank 0: round 7575 ok checksum=5726679290859764299
rank 0: round 7600 ok checksum=976166801572025359
rank 0: round 7625 ok checksum=12317639182519287895
rank 0: round 7650 ok checksum=2532147256894741304
rank 0: round 7675 ok checksum=13185639507909694308
rank 0: round 7700 ok checksum=9884321844154032424
rank 0: round 7725 ok checksum=10988372524768328763
rank 0: round 7750 ok checksum=5181362287681931502
rank 0: round 7775 ok checksum=15642842119110905119
rank 0: round 7800 ok checksum=12620154754988791291
rank 0: round 7825 ok checksum=13370123144346445379
rank 0: round 7850 ok checksum=5736162653798594719
rank 0: round 7875 ok checksum=4081725464817531786
rank 0: round 7900 ok checksum=3433097330168425324
rank 0: round 7925 ok checksum=7954343917805100049
rank 0: round 7950 ok checksum=15588871424825997418
rank 0: round 7975 ok checksum=11966398000311484686
rank 0: round 8000 ok checksum=12515298586752743634
rank 0: round 8025 ok checksum=10485167994238865637
rank 0: round 8050 ok checksum=14156614015057018138
rank 0: round 8075 ok checksum=2647393144570251059
rank 0: round 8100 ok checksum=11265441638460051651
rank 0: round 8125 ok checksum=17677315268088860235
rank 0: round 8150 ok checksum=4942189775670268591
rank 0: round 8175 ok checksum=7391340862267885482
rank 0: round 8200 ok checksum=1122774795989091937
rank 0: round 8225 ok checksum=6199438033857516310
rank 0: round 8250 ok checksum=10778599767508477959
rank 0: round 8275 ok checksum=13548646659662985135
rank 0: round 8300 ok checksum=8614369429213201153
rank 0: round 8325 ok checksum=11926562151609526883
rank 0: round 8350 ok checksum=6122581841092436198
rank 0: round 8375 ok checksum=10356046334536303795
rank 0: round 8400 ok checksum=997357476696195552
rank 0: round 8425 ok checksum=10925601759775367270
rank 0: round 8450 ok checksum=2029179015086106370
rank 0: round 8475 ok checksum=1699300809711710164
rank 0: round 8500 ok checksum=10391483955090833133
rank 0: round 8525 ok checksum=446106072568553376
rank 0: round 8550 ok checksum=9035768022904603226
rank 0: round 8575 ok checksum=9680719213542536005
rank 0: round 8600 ok checksum=1112830127094090831
rank 0: round 8625 ok checksum=9490924326038001615
rank 0: round 8650 ok checksum=12458887504121764494
rank 0: round 8675 ok checksum=8967136275596781199
rank 0: round 8700 ok checksum=15692371212302949982
rank 0: round 8725 ok checksum=14914711897714879186
rank 0: round 8750 ok checksum=16062487887028643697
rank 0: round 8775 ok checksum=3875035002673346727
rank 0: round 8800 ok checksum=6180561784775077760
rank 0: round 8825 ok checksum=10704687986629761183
rank 0: round 8850 ok checksum=12906030351866365630
rank 0: round 8875 ok checksum=5959639378388547996
rank 0: round 8900 ok checksum=2493703817394408217
rank 0: round 8925 ok checksum=11708436308726127861
rank 0: round 8950 ok checksum=17815440292490064858
rank 0: round 8975 ok checksum=16801557232797334835
rank 0: round 9000 ok checksum=17133240376248352992
rank 0: round 9025 ok checksum=12052761693679028598
rank 0: round 9050 ok checksum=13704610026549675904
rank 0: round 9075 ok checksum=10939316076167638085
rank 0: round 9100 ok checksum=13344341020300920468
rank 0: round 9125 ok checksum=5663038472697718607
rank 0: round 9150 ok checksum=991167914460063146
rank 0: round 9175 ok checksum=17824312987083484843
